Dataset,Algorithm,CV-Fold,Hyper-parameters,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Train_time,Infer_time
coil-100_3,RandAugment,1,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00021178745837873746, 'amsgrad': False}",0.975000023841858,0.9720497,0.4751553,0.975000023841858,1.0,1.0,24.05225706100464,2.1803019046783447
coil-100_3,RandAugment,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0001421161688138654, 'amsgrad': True}",0.987500011920929,0.9720497,0.4751553,0.987500011920929,1.0,1.0,26.174077033996586,2.1847448348999023
coil-100_3,RandAugment,3,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00015135645870725865, 'amsgrad': True}",0.987500011920929,0.9720497,0.4751553,0.987500011920929,1.0,1.0,28.1675226688385,2.4141087532043457
coil-100_3,RandAugment,4,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00020660637400631314, 'amsgrad': True}",0.96875,0.9720497,0.4751553,0.96875,1.0,1.0,26.26329469680786,2.3775415420532227
coil-100_3,RandAugment,5,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00026501540292637674, 'amsgrad': True}",0.943750023841858,0.97189444,0.4751635,0.943750023841858,0.9998355507850648,0.9974723815917969,24.48343610763549,2.2462379932403564
coil-100_3,RandAugment,6,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.0004313224419836779, 'amsgrad': False}",0.962499976158142,0.9720497,0.4751553,0.962499976158142,1.0,1.0,25.24981689453125,2.248666286468506
coil-100_3,RandAugment,7,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00010408907871945027, 'amsgrad': True}",1.0,0.9720497,0.4751553,1.0,1.0,1.0,27.60826539993286,2.2286181449890137
coil-100_3,RandAugment,8,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0001457977632905819, 'amsgrad': False}",0.96875,0.97197205,0.47515935,0.96875,0.99991774559021,0.9985243082046508,26.697292804718018,2.313865900039673
coil-100_3,RandAugment,9,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00018642515110825207, 'amsgrad': True}",1.0,0.9720497,0.4751553,1.0,1.0,1.0,24.150757789611816,2.179110288619995
coil-100_4,RandAugment,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 8.613844306188576e-05, 'amsgrad': False}",1.0,0.9720497131347656,0.4751552939414978,1.0,1.0,1.0,29.50342583656311,5.93407940864563
coil-100_4,RandAugment,2,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.00036326341930718664, 'amsgrad': False}",0.993749976158142,0.9720497131347656,0.4751552939414978,0.993749976158142,1.0,1.0,27.318357467651367,5.930189847946167
coil-100_4,RandAugment,3,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.0002225556745911143, 'amsgrad': True}",0.993749976158142,0.9720497131347656,0.4751552939414978,0.993749976158142,1.0,1.0,27.350727796554565,5.859954833984375
coil-100_4,RandAugment,4,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00022099373114861344, 'amsgrad': False}",1.0,0.9720497131347656,0.4751552939414978,1.0,1.0,1.0,27.040024280548096,5.94994854927063
coil-100_4,RandAugment,5,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00019641914909151125, 'amsgrad': False}",0.987500011920929,0.9720497131347656,0.4751552939414978,0.987500011920929,1.0,1.0,27.15410351753235,5.922148704528809
coil-100_4,RandAugment,6,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0001232613799073533, 'amsgrad': True}",0.987500011920929,0.9719331860542296,0.4751614332199096,0.987500011920929,0.9998766183853148,0.9978435039520264,28.676737546920776,5.952620267868042
coil-100_4,RandAugment,7,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.0002669059124423435, 'amsgrad': False}",0.962499976158142,0.9719720482826232,0.4751593470573425,0.962499976158142,0.99991774559021,0.9985243082046508,26.15333342552185,5.770725727081299
coil-100_4,RandAugment,8,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00021361688338599174, 'amsgrad': False}",0.993749976158142,0.9720497131347656,0.4751552939414978,0.993749976158142,1.0,1.0,26.05585670471192,5.743391275405884
coil-100_4,RandAugment,9,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00012465815915639185, 'amsgrad': True}",0.975000023841858,0.9720497131347656,0.4751552939414978,0.975000023841858,1.0,1.0,26.0807101726532,5.777498006820679
CINIC-10_1,Baseline,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 4.115210133051889e-05, 'amsgrad': True}",0.914814829826355,0.8935532569885254,0.4015893638134002,0.914814829826355,0.9924176931381226,0.9747259616851808,218.2232594490052,5.2984702587127686
CINIC-10_1,Baseline,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 8.95333392097088e-05, 'amsgrad': True}",0.919259250164032,0.8941497802734375,0.4014118611812591,0.919259250164032,0.9933059215545654,0.9778908848762512,218.3729453086853,5.285124778747559
CINIC-10_1,Baseline,3,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 8.620965336449544e-05, 'amsgrad': True}",0.8992592692375183,0.8930590152740479,0.4021454155445099,0.8992592692375183,0.9911248087882996,0.9712553977966308,217.7604982852936,5.296168804168701
CINIC-10_1,Baseline,4,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00011206555413922355, 'amsgrad': True}",0.9155555367469788,0.8930460810661316,0.4015664756298065,0.9155555367469788,0.9925321340560912,0.9765243172645568,177.3624289035797,5.382489204406738
CINIC-10_1,Baseline,5,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00014084638208944653, 'amsgrad': False}",0.8970370292663574,0.8927145004272461,0.402569979429245,0.8970370292663574,0.9904930591583252,0.9674875617027284,176.2954339981079,5.321179866790772
CINIC-10_1,Baseline,6,"{'batch_size': 32, 'optimizer': 'sgd', 'lr': 0.0009306263887841061, 'nesterov': False}",0.931851863861084,0.894706130027771,0.4014981985092163,0.931851863861084,0.9941236972808838,0.9806198239326476,202.36935544013977,5.3428051471710205
CINIC-10_1,Baseline,7,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 4.767230366343727e-05, 'amsgrad': True}",0.9059259295463562,0.8927873373031616,0.4022262096405029,0.9059259295463562,0.990720808506012,0.9707480430603028,218.44502687454224,5.297498941421509
CINIC-10_1,Baseline,8,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 6.741703748866915e-05, 'amsgrad': False}",0.9096296429634094,0.8915914297103882,0.4020323753356933,0.9096296429634094,0.990200936794281,0.9696940302848815,177.07916402816772,5.383966445922852
CINIC-10_1,Baseline,9,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 8.04181138836155e-05, 'amsgrad': False}",0.9059259295463562,0.8911846876144409,0.4020774662494659,0.9059259295463562,0.989975094795227,0.968147313594818,215.30230593681333,5.329952239990234
CINIC-10_1,Baseline,10,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 5.781371216211465e-05, 'amsgrad': True}",0.9118518233299256,0.8926184773445129,0.4018681645393371,0.9118518233299256,0.9912437200546264,0.9706491589546205,219.23664498329163,5.2826879024505615
CINIC-10_2,Baseline,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 4.5801281228098e-05, 'amsgrad': False}",0.9333333373069764,0.8949984908103943,0.4012021422386169,0.9333333373069764,0.994355320930481,0.9815930724143982,215.32662749290463,5.287296295166016
CINIC-10_2,Baseline,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 5.348626766589162e-05, 'amsgrad': True}",0.9274073839187622,0.8958389163017273,0.4014526605606079,0.9274073839187622,0.9948910474777222,0.982190442085266,218.1831965446472,5.3326966762542725
CINIC-10_2,Baseline,3,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.0001330719044751928, 'amsgrad': True}",0.9200000166893004,0.8921467661857605,0.4014495015144348,0.9200000166893004,0.9921157360076904,0.9746144771575928,177.5561830997467,5.416850090026856
CINIC-10_2,Baseline,4,"{'batch_size': 32, 'optimizer': 'sgd', 'lr': 0.0007965776867077928, 'nesterov': True}",0.9333333373069764,0.8953583240509033,0.4006389379501343,0.9333333373069764,0.9948599338531494,0.9831889152526856,205.91450214385983,5.349204063415527
CINIC-10_2,Baseline,5,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 8.058897930117553e-05, 'amsgrad': True}",0.925185203552246,0.8943670392036438,0.4017618894577026,0.925185203552246,0.993042528629303,0.9762472867965698,218.89449000358584,5.368258714675903
CINIC-10_2,Baseline,6,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 6.847667683152016e-05, 'amsgrad': False}",0.9274073839187622,0.8938814997673035,0.401812195777893,0.9274073839187622,0.9927878379821776,0.9769684910774232,216.37751293182373,5.387541055679321
CINIC-10_2,Baseline,7,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00010413976665937346, 'amsgrad': True}",0.9281481504440308,0.8961286544799805,0.4014427661895752,0.9281481504440308,0.9951848983764648,0.9833508968353272,177.1090064048767,5.324990510940552
CINIC-10_2,Baseline,8,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 9.210140372972763e-05, 'amsgrad': True}",0.9177777767181396,0.8927821516990662,0.4013080894947052,0.9177777767181396,0.9924510717391968,0.9741105198860168,177.53692388534546,5.421529531478882
CINIC-10_2,Baseline,9,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 4.53697129517269e-05, 'amsgrad': False}",0.925185203552246,0.8946827054023743,0.4013034403324127,0.925185203552246,0.993848443031311,0.9789604544639589,216.1551604270935,5.276942491531372
CINIC-10_1,RandAugment,1,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00012782725645750476, 'amsgrad': False}",0.2822222113609314,0.6246736645698547,0.4688315987586975,0.2822222113609314,0.6559574604034424,0.3264250874519348,148.12732315063477,5.312015533447266
CINIC-10_1,RandAugment,2,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.0001270913860259434, 'amsgrad': False}",0.2866666615009308,0.6381583213806152,0.4654604196548462,0.2866666615009308,0.672825813293457,0.345828029513359,133.81581282615662,5.234797954559326
CINIC-10_1,RandAugment,3,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 5.7312854737556946e-05, 'amsgrad': True}",0.2955555617809295,0.611373782157898,0.4721565842628479,0.2955555617809295,0.6393203139305115,0.3251819431781769,138.2957615852356,5.294235706329346
CINIC-10_1,RandAugment,4,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00025116111481405834, 'amsgrad': True}",0.2459259331226349,0.5795630812644958,0.4801092147827148,0.2459259331226349,0.5995274186134338,0.2561380267143249,139.78066730499268,5.233891010284424
CINIC-10_1,RandAugment,5,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.0009578085520826389, 'amsgrad': False}",0.2051851898431778,0.5304942727088928,0.4923661351203918,0.2051851898431778,0.5381580591201782,0.2378814131021499,144.53810000419617,5.220529317855835
CINIC-10_1,RandAugment,6,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.0004357226015651471, 'amsgrad': True}",0.2444444447755813,0.5709366202354431,0.4823242723941803,0.2444444447755813,0.5886763334274292,0.2600139260292053,141.98630809783936,5.228530168533325
CINIC-10_1,RandAugment,7,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 4.8312872541326586e-05, 'amsgrad': False}",0.2503703832626343,0.6449412107467651,0.4636825919151306,0.2503703832626343,0.6814327836036682,0.3398636758327484,182.0602209568024,5.205563306808472
CINIC-10_1,RandAugment,8,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.00011116881487731007, 'amsgrad': False}",0.3199999928474426,0.6191502213478088,0.470212459564209,0.3199999928474426,0.6490480303764343,0.3290225058794022,143.51091313362122,5.2934746742248535
CINIC-10_1,RandAugment,9,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00023157149845658758, 'amsgrad': True}",0.2548148036003113,0.5805241465568542,0.4797510504722595,0.2548148036003113,0.6008666157722473,0.2711338937282562,184.2363600730896,5.17844820022583
CINIC-10_1,RandAugment,10,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 8.638099652297075e-05, 'amsgrad': True}",0.2570370435714721,0.5696038603782654,0.4826299250125885,0.2570370435714721,0.5870492458343506,0.2687829226255417,185.06996893882751,5.294659376144409
CINIC-10_2,RandAugment,1,"{'batch_size': 32, 'optimizer': 'sgd', 'lr': 0.0007673501637076852, 'nesterov': False}",0.2992592453956604,0.6316648721694946,0.4669608771800995,0.2992592453956604,0.6648567914962769,0.3247259974479675,167.19123339653015,5.223143815994263
CINIC-10_2,RandAugment,2,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.0002520111719365712, 'amsgrad': False}",0.3103703558444977,0.6476965546607971,0.462969958782196,0.3103703558444977,0.6848106980323792,0.3525414794683456,137.936541557312,5.221713542938232
CINIC-10_2,RandAugment,3,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 9.103285175174847e-05, 'amsgrad': False}",0.3081481456756592,0.6573692560195923,0.4605783522129059,0.3081481456756592,0.6969293355941772,0.3552502810955047,146.67934823036194,5.202765226364136
CINIC-10_2,RandAugment,4,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00010997574377455464, 'amsgrad': False}",0.2111111134290695,0.5460358262062073,0.4887605607509613,0.2111111134290695,0.5573147535324097,0.2636757344007492,181.21535205841064,5.215347051620483
CINIC-10_2,RandAugment,5,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 4.372576677805494e-05, 'amsgrad': False}",0.1681481450796127,0.533731997013092,0.4915670156478882,0.1681481450796127,0.5421961545944214,0.2303807288408279,183.683340549469,5.193464040756226
CINIC-10_2,RandAugment,6,"{'batch_size': 32, 'optimizer': 'sgd', 'lr': 0.0006226631135440264, 'nesterov': False}",0.3362962901592254,0.6265147924423218,0.4683712720870971,0.3362962901592254,0.6582605838775635,0.3269063353538513,167.52183890342712,5.277892351150513
CINIC-10_2,RandAugment,7,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 2.5208356228180827e-05, 'amsgrad': True}",0.256296306848526,0.595863938331604,0.4758448302745819,0.256296306848526,0.6201250553131104,0.3183096706867218,184.0745115280152,5.2127439975738525
CINIC-10_2,RandAugment,8,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.0005175243455935631, 'amsgrad': True}",0.280740737915039,0.60676509141922,0.4732665419578552,0.280740737915039,0.6336507797241211,0.3013757169246673,143.15501856803894,5.279472589492798
CINIC-10_2,RandAugment,9,"{'batch_size': 32, 'optimizer': 'sgd', 'lr': 1.7957022955133018e-05, 'nesterov': False}",0.2237036973237991,0.5636472702026367,0.4840882122516632,0.2237036973237991,0.579617977142334,0.2618484944105148,167.50817108154297,5.220908164978027
CINIC-10_2,RandAugment,10,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 2.746913683595526e-05, 'amsgrad': True}",0.3214814960956573,0.6596689224243164,0.4593523442745209,0.3214814960956573,0.7000954747200012,0.3834942996501922,183.9732859134674,5.273397922515869
coil-100_1,Baseline,1,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.0001738632566777265, 'amsgrad': False}",1.0,0.9720497131347656,0.4751552939414978,1.0,1.0,1.0,30.68637013435364,6.298744201660156
coil-100_1,Baseline,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00015433250678108473, 'amsgrad': False}",1.0,0.9720497131347656,0.4751552939414978,1.0,1.0,1.0,33.27122473716736,6.335893630981445
coil-100_1,Baseline,3,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00017536358751386663, 'amsgrad': True}",1.0,0.9720497131347656,0.4751552939414978,1.0,1.0,1.0,33.68676996231079,6.269684314727783
coil-100_1,Baseline,4,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00029421928466809777, 'amsgrad': True}",1.0,0.9720497131347656,0.4751552939414978,1.0,1.0,1.0,30.68260908126831,6.218687534332275
coil-100_1,Baseline,5,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00012301349436547138, 'amsgrad': False}",1.0,0.9720497131347656,0.4751552939414978,1.0,1.0,1.0,33.0424530506134,6.194172620773315
coil-100_1,Baseline,6,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00011436178688129242, 'amsgrad': False}",1.0,0.9720497131347656,0.4751552939414978,1.0,1.0,1.0,32.912564516067505,6.218952894210815
coil-100_1,Baseline,7,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0001698467420611583, 'amsgrad': True}",1.0,0.9720497131347656,0.4751552939414978,1.0,1.0,1.0,33.32854604721069,6.165576457977295
coil-100_1,Baseline,8,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0003619870654881169, 'amsgrad': True}",0.987500011920929,0.97146737575531,0.4751552939414978,0.987500011920929,1.0,1.0,33.37875199317932,6.132785797119141
coil-100_1,Baseline,9,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00012248230419442555, 'amsgrad': True}",1.0,0.9719720482826232,0.4751552939414978,1.0,1.0,1.0,33.4012188911438,6.202495574951172
coil-100_2,RandAugment,1,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00023329885319634225, 'amsgrad': True}",0.9142857193946838,0.971327304840088,0.4751933217048645,0.9142857193946838,0.9996777772903442,0.995359405875206,25.73402309417725,5.65883469581604
coil-100_2,RandAugment,2,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.0001395861232892594, 'amsgrad': True}",0.949999988079071,0.971428632736206,0.4751879572868347,0.949999988079071,0.9997851848602296,0.9972726702690125,25.785728454589844,5.55251407623291
coil-100_2,RandAugment,3,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00017276730563562214, 'amsgrad': False}",0.9928571581840516,0.9716312289237976,0.4751773178577423,0.9928571581840516,1.0,0.9999999403953552,25.620025873184204,5.5711634159088135
coil-100_2,RandAugment,4,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00042996896865485134, 'amsgrad': True}",0.6071428656578064,0.9531914591789246,0.4761478006839752,0.6071428656578064,0.9804511666297911,0.8968376498669386,25.81647300720215,5.6136555671691895
coil-100_2,RandAugment,5,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.0002911165877489057, 'amsgrad': False}",0.9928571581840516,0.9716312289237976,0.4751773178577423,0.9928571581840516,1.0,0.9999999403953552,26.528913259506226,5.610491037368774
coil-100_2,RandAugment,6,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00022763099806290808, 'amsgrad': False}",0.9642857313156128,0.9716312289237976,0.4751773178577423,0.9642857313156128,1.0,0.9999999403953552,26.289214372634888,5.60396409034729
coil-100_2,RandAugment,7,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00018316713418262153, 'amsgrad': False}",0.9714285731315612,0.9715805649757384,0.4751799702644348,0.9714285731315612,0.999946355819702,0.9990433126688004,26.320057153701782,5.638373374938965
coil-100_2,RandAugment,8,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00015954139045225996, 'amsgrad': False}",0.8214285969734192,0.963779091835022,0.4755905866622925,0.8214285969734192,0.991675615310669,0.9398954898118972,28.69049048423767,5.578017950057983
coil-100_2,RandAugment,9,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.00043105160011800304, 'amsgrad': False}",0.7571428418159485,0.9618034362792968,0.4756945371627807,0.7571428418159485,0.9895811080932616,0.9241721332073212,26.691446542739868,5.757259368896484
coil-100_2,RandAugment,10,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.00036787221222498747, 'amsgrad': True}",0.935714304447174,0.9708712697029114,0.4752172827720642,0.935714304447174,0.9991944432258606,0.9909752160310744,26.701047897338867,5.598703384399414
coil-100_5,RandAugment,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00010379884304993842, 'amsgrad': True}",1.0,0.9716312289237976,0.4751773178577423,1.0,1.0,0.9999999403953552,30.23401498794556,5.828523874282837
coil-100_5,RandAugment,2,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00021872568927420565, 'amsgrad': True}",1.0,0.9716312289237976,0.4751773178577423,1.0,1.0,0.9999999403953552,26.408620834350582,5.616707801818848
coil-100_5,RandAugment,3,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00024928140354587647, 'amsgrad': False}",0.800000011920929,0.9714792966842652,0.4751853048801422,0.800000011920929,0.9998389482498168,0.9977380365133286,28.70239543914795,5.523789882659912
coil-100_5,RandAugment,4,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.0002110824395178676, 'amsgrad': True}",0.9857142567634584,0.9716312289237976,0.4751773178577423,0.9857142567634584,1.0,0.9999999403953552,26.40473699569702,5.584106922149658
coil-100_5,RandAugment,5,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.000178384128126552, 'amsgrad': False}",0.9857142567634584,0.9716312289237976,0.4751773178577423,0.9857142567634584,1.0,0.9999999403953552,26.32757544517517,5.505778789520264
coil-100_5,RandAugment,6,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.000207429331230535, 'amsgrad': True}",1.0,0.9716312289237976,0.4751773178577423,1.0,1.0,0.9999999403953552,26.66285967826844,5.590645790100098
coil-100_5,RandAugment,7,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00020466555817084224, 'amsgrad': True}",0.935714304447174,0.9716312289237976,0.4751773178577423,0.935714304447174,1.0,0.9999999403953552,28.836405754089355,5.588890552520752
coil-100_5,RandAugment,8,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00019185208871354923, 'amsgrad': True}",0.9571428298950196,0.9716312289237976,0.4751773178577423,0.9571428298950196,1.0,0.9999999403953552,29.09135270118713,5.515325546264648
coil-100_5,RandAugment,9,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0001272299945856129, 'amsgrad': True}",0.9928571581840516,0.9716312289237976,0.4751773178577423,0.9928571581840516,1.0,0.9999999403953552,29.37966752052307,5.535213947296143
coil-100_5,RandAugment,10,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.0002666443919662909, 'amsgrad': True}",1.0,0.9716312289237976,0.4751773178577423,1.0,1.0,0.9999999403953552,26.321322679519653,5.558072090148926
coil-100_4,RandAugment,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00016449493800932058, 'amsgrad': True}",0.8571428656578064,0.9708712697029114,0.4752172827720642,0.8571428656578064,0.9991944432258606,0.9923446506261826,28.49944543838501,5.811875820159912
coil-100_4,RandAugment,2,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.00025739255977670633, 'amsgrad': False}",0.9714285731315612,0.9716312289237976,0.4751773178577423,0.9714285731315612,1.0,0.9999999403953552,27.14340233802796,5.88190770149231
coil-100_4,RandAugment,3,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00015789778234903657, 'amsgrad': True}",1.0,0.9716312289237976,0.4751773178577423,1.0,1.0,0.9999999403953552,25.769394159317017,5.575560569763184
coil-100_4,RandAugment,4,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00022366426147716917, 'amsgrad': True}",0.8999999761581421,0.958054780960083,0.4758918583393097,0.8999999761581421,0.9856069087982178,0.9335026517510414,28.77095460891724,5.706656217575073
coil-100_4,RandAugment,5,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00010807846227582961, 'amsgrad': False}",0.9714285731315612,0.9715805649757384,0.4751799702644348,0.9714285731315612,0.999946355819702,0.9990433126688004,28.15170669555664,5.585261106491089
coil-100_4,RandAugment,6,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00017628565036781704, 'amsgrad': False}",1.0,0.9716312289237976,0.4751773178577423,1.0,1.0,0.9999999403953552,25.84313178062439,5.585835695266724
coil-100_4,RandAugment,7,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.0001754361313704849, 'amsgrad': False}",1.0,0.9716312289237976,0.4751773178577423,1.0,1.0,0.9999999403953552,25.817997455596924,5.530251264572144
coil-100_4,RandAugment,8,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.000171873975456528, 'amsgrad': False}",0.8285714387893677,0.9605876207351683,0.4757585525512695,0.8285714387893677,0.988292157649994,0.9580867916345596,28.834229946136475,5.583857774734497
coil-100_4,RandAugment,9,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.00021563044996229748, 'amsgrad': False}",0.8857142925262451,0.9715805649757384,0.4751799702644348,0.8857142925262451,0.999946355819702,0.9990433126688004,26.15920782089233,5.575556039810181
